,Parameter,Value,Unit
0,central.activated_coagulation_factor_ii_amount,0.0,nmol
1,central.activated_coagulation_factor_ix_amount,0.0,nmol
2,central.activated_coagulation_factor_v_amount,0.0,nmol
3,central.activated_coagulation_factor_vii_amount,0.0,nmol
4,central.activated_coagulation_factor_viii_amount,0.0,nmol
5,central.activated_coagulation_factor_x_amount,0.0,nmol
6,central.activated_coagulation_factor_xi_amount,0.0,nmol
7,central.activated_coagulation_factor_xii_amount,0.0,nmol
8,central.activated_coagulation_factor_xiii_amount,0.0,nmol
9,central.activated_protein_c_amount,0.0,nmol
10,central.aii_at_complex_amount,0.0,nmol
11,central.aii_atiii_heparin_complex_amount,0.0,nmol
12,central.aii_tmod_complex_amount,0.0,nmol
13,central.aix_atiii_heparin_complex_amount,0.0,nmol
14,central.aix_aviii_complex_amount,0.0,nmol
15,central.apc_ps_complex_amount,0.0,nmol
16,central.atiii_heparin_complex_amount,0.0,nmol
17,central.av_ax_complex_amount,0.0,nmol
18,central.avii_tf_ax_tfpi_complex_amount,0.0,nmol
19,central.avii_tf_complex_amount,0.0,nmol
20,central.ax_atiii_heparin_complex_complex_amount,0.0,nmol
21,central.ax_tfpi_complex_amount,0.0,nmol
22,central.coagulation_factor_ii_amount,33465.600000000006,nmol
23,central.coagulation_factor_ix_amount,2150.3999999999996,nmol
24,central.coagulation_factor_v_amount,640.8,nmol
25,central.coagulation_factor_vii_amount,240.0,nmol
26,central.coagulation_factor_viii_amount,16.799999999999997,nmol
27,central.coagulation_factor_x_amount,4183.200000000001,nmol
28,central.coagulation_factor_xi_amount,734.4000000000001,nmol
29,central.coagulation_factor_xii_amount,9000.0,nmol
30,central.coagulation_factor_xiii_amount,1687.1999999999998,nmol
31,central.cross_linked_fibrin_amount,0.0,nmol
32,central.fibrin_amount,0.0,nmol
33,central.fibrin_degradation_product_amount,0.0,nmol
34,central.fibrinogen_amount,214692.0,nmol
35,central.kallikrein_amount,0.0,nmol
36,central.plasmin_amount,0.0,nmol
37,central.plasminogen_amount,51703.200000000004,nmol
38,central.prekallikrein_amount,10800.0,nmol
39,central.protein_c_amount,1440.0,nmol
40,central.protein_s_amount,7200.0,nmol
41,central.thrombomodulin_amount,1200.0,nmol
42,central.tissue_factor_amount,0.0,nmol
43,central.tissue_factor_pathway_inhibitor_amount,60.0,nmol
44,central.vii_tf_complex_amount,0.0,nmol
45,central.vitamin_k_amount,24.0,nmol
46,central.vitamin_k_epoxide_amount,2.4000000000000004,nmol
47,central.vitamin_k_hydroquinone_amount,2.4000000000000004,nmol
48,central.d_dimer_amount,0.0,nmol
49,dose.drug_amount,0.0,mg
50,peripheral_vitamin_k.vitamin_k_peripheral_amount,115.47540983606557,nmol
51,central.size,24.0,L
52,central_warfarin.size,10.0,L
53,central_warfarin.warfarin_amount,0.0,nmol
54,central.contact_system_activator_amount,0.0,nmol
55,dose.absorption_rate,1.0,1/h
56,myokit.complex_formation_rate_aii_atiii_heparin_complex,8.352941176470589,nM/h
57,myokit.complex_formation_rate_aii_tmod,0.0,nM/h
58,myokit.complex_formation_rate_aix_atiii_heparin_complex,1.1764705882352942,nM/h
59,myokit.complex_formation_rate_aix_aviii,100.0,nM/h
60,myokit.complex_formation_rate_apc_ps,1.0,nM/h
61,myokit.complex_formation_rate_av_ax,2.0,nM/h
62,myokit.complex_formation_rate_avii_tf,2.0,nM/h
63,myokit.complex_formation_rate_avii_tf_ax_tfpi,2.0,nM/h
64,myokit.complex_formation_rate_ax_atiii_heparin_complex,1.1764705882352942,nM/h
65,myokit.complex_formation_rate_ax_tfpi,2.0,nM/h
66,myokit.complex_formation_rate_vii_tf,2.0,nM/h
